movie_id,title,cast,crew
19995,Avatar,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez","Director: James Cameron; Writer: James Cameron, James Cameron"
285,Pirates of the Caribbean: At World's End,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Chow Yun-fat","Director: Gore Verbinski; Writer: Ted Elliott, Terry Rossio"
206647,Spectre,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes, Monica Bellucci","Director: Sam Mendes; Writer: John Logan, Robert Wade"
49026,The Dark Knight Rises,"Christian Bale, Michael Caine, Gary Oldman, Anne Hathaway, Tom Hardy","Director: Christopher Nolan; Writer: Christopher Nolan, Jonathan Nolan"
49529,John Carter,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church","Director: Andrew Stanton; Writer: Andrew Stanton, Michael Chabon"
559,Spider-Man 3,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace","Director: Sam Raimi; Writer: Sam Raimi, Alvin Sargent"
38757,Tangled,"Zachary Levi, Mandy Moore, Donna Murphy, Ron Perlman, M.C. Gainey","Director: Byron Howard, Nathan Greno; Writer: Dan Fogelman"
99861,Avengers: Age of Ultron,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson",Director: Joss Whedon; Writer: Joss Whedon
767,Harry Potter and the Half-Blood Prince,"Daniel Radcliffe, Rupert Grint, Emma Watson, Tom Felton, Michael Gambon",Director: David Yates; Writer: Steve Kloves
209112,Batman v Superman: Dawn of Justice,"Ben Affleck, Henry Cavill, Gal Gadot, Amy Adams, Jesse Eisenberg","Director: Zack Snyder; Writer: David S. Goyer, Chris Terrio"
1452,Superman Returns,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden, Parker Posey","Director: Bryan Singer; Writer: Michael Dougherty, Dan Harris"
10764,Quantum of Solace,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini","Director: Marc Forster; Writer: Paul Haggis, Robert Wade"
58,Pirates of the Caribbean: Dead Man's Chest,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Bill Nighy","Director: Gore Verbinski; Writer: Ted Elliott, Terry Rossio"
57201,The Lone Ranger,"Johnny Depp, Armie Hammer, William Fichtner, Helena Bonham Carter, James Badge Dale","Director: Gore Verbinski; Writer: Ted Elliott, Terry Rossio"
49521,Man of Steel,"Henry Cavill, Amy Adams, Michael Shannon, Kevin Costner, Diane Lane",Director: Zack Snyder; Writer: David S. Goyer
2454,The Chronicles of Narnia: Prince Caspian,"Ben Barnes, William Moseley, Anna Popplewell, Skandar Keynes, Georgie Henley","Director: Andrew Adamson; Writer: Andrew Adamson, Christopher Markus"
24428,The Avengers,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson",Director: Joss Whedon; Writer: Joss Whedon
1865,Pirates of the Caribbean: On Stranger Tides,"Johnny Depp, Penélope Cruz, Ian McShane, Kevin McNally, Geoffrey Rush","Director: Rob Marshall; Writer: Ted Elliott, Terry Rossio"
41154,Men in Black 3,"Will Smith, Tommy Lee Jones, Josh Brolin, Michael Stuhlbarg, Emma Thompson","Director: Barry Sonnenfeld; Writer: Lowell Cunningham, Etan Cohen"
122917,The Hobbit: The Battle of the Five Armies,"Martin Freeman, Ian McKellen, Richard Armitage, Ken Stott, Graham McTavish","Director: Peter Jackson; Writer: Peter Jackson, Fran Walsh"
1930,The Amazing Spider-Man,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Campbell Scott","Director: Marc Webb; Writer: Alvin Sargent, Steve Kloves"
20662,Robin Hood,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt, Mark Strong",Director: Ridley Scott; Writer: Brian Helgeland
57158,The Hobbit: The Desolation of Smaug,"Martin Freeman, Ian McKellen, Richard Armitage, Ken Stott, Graham McTavish","Director: Peter Jackson; Writer: Peter Jackson, Fran Walsh"
2268,The Golden Compass,"Dakota Blue Richards, Nicole Kidman, Daniel Craig, Sam Elliott, Eva Green",Director: Chris Weitz; Writer: Chris Weitz
254,King Kong,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks",Director: Peter Jackson
597,Titanic,"Kate Winslet, Leonardo DiCaprio, Frances Fisher, Billy Zane, Kathy Bates",Director: James Cameron; Writer: James Cameron
271110,Captain America: Civil War,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie","Director: Anthony Russo, Joe Russo; Writer: Christopher Markus, Stephen McFeely"
